Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 63431,319,253,53,0,0,0,0,13,47.2,-666666666,180,139,220,96,0,13,63431
ZCTA5 63432,386,383,0,0,0,0,0,3,51.6,59141,112,274,266,108,0,9,63432
ZCTA5 63433,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,63433
ZCTA5 63434,734,679,0,0,11,0,33,11,35.8,47222,375,359,444,169,44,22,63434
ZCTA5 63435,4205,3856,100,12,23,0,0,214,40.8,53167,2301,1904,2750,1014,138,158,63435
ZCTA5 63436,1266,1245,9,0,3,0,7,2,50.8,61607,656,610,943,539,54,3,63436
ZCTA5 63437,1541,1448,41,0,3,0,21,28,40.1,35469,811,730,1015,449,77,39,63437
ZCTA5 63438,232,232,0,0,0,0,0,0,42.2,48698,112,120,151,91,5,13,63438
ZCTA5 63439,174,171,0,3,0,0,0,0,44.8,-666666666,93,81,144,77,0,3,63439
ZCTA5 63440,1012,934,1,0,44,11,0,22,43.5,49444,412,600,730,212,124,15,63440
ZCTA5 63441,1114,1082,12,0,4,0,0,16,38.4,60795,545,569,758,362,26,32,63441
ZCTA5 63443,305,301,0,0,0,0,0,4,61.3,29375,175,130,275,146,4,1,63443
ZCTA5 63445,3980,3785,2,25,42,0,25,101,43.4,47461,2115,1865,2687,1001,344,90,63445
ZCTA5 63446,313,311,2,0,0,0,0,0,60.4,55119,156,157,235,99,11,0,63446
ZCTA5 63447,1217,1090,96,0,0,0,0,31,33.9,36750,656,561,752,312,47,17,63447
ZCTA5 63448,1436,1186,178,0,16,0,10,46,42.5,53984,579,857,976,446,61,37,63448
ZCTA5 63450,160,150,0,0,0,0,0,10,60.4,92708,87,73,158,76,20,6,63450
ZCTA5 63451,161,161,0,0,0,0,0,0,38.4,77000,114,47,139,85,2,5,63451
ZCTA5 63452,1185,1178,0,3,0,0,0,4,41.0,54891,573,612,772,324,42,40,63452
ZCTA5 63453,358,349,7,0,2,0,0,0,41.8,79583,199,159,233,82,33,13,63453
ZCTA5 63454,1166,1149,0,10,0,0,0,7,36.3,70625,536,630,714,326,76,33,63454
ZCTA5 63456,4995,4482,287,56,47,0,0,123,40.7,58547,2516,2479,3389,1341,230,207,63456
ZCTA5 63457,494,466,11,0,0,0,0,17,31.4,59091,281,213,318,91,24,4,63457
ZCTA5 63458,85,63,14,0,1,0,7,0,40.8,56250,46,39,62,18,0,4,63458
ZCTA5 63459,4523,4154,167,5,7,0,40,150,43.8,63295,2369,2154,3251,1355,272,153,63459
ZCTA5 63460,255,248,0,7,0,0,0,0,55.5,88125,174,81,237,95,17,21,63460
ZCTA5 63461,5452,4857,187,42,3,0,2,361,37.9,64291,2839,2613,3833,1286,407,284,63461
ZCTA5 63462,1461,1289,0,0,0,0,36,136,45.4,45500,699,762,1087,444,102,22,63462
ZCTA5 63463,825,813,0,0,7,0,0,5,36.4,73563,381,444,513,149,78,55,63463
ZCTA5 63465,627,626,0,0,0,0,0,1,33.8,59375,400,227,388,236,40,18,63465
ZCTA5 63466,19,19,0,0,0,0,0,0,-666666666.0,-666666666,8,11,19,8,0,0,63466
ZCTA5 63467,77,77,0,0,0,0,0,0,31.8,76667,31,46,44,21,10,0,63467
ZCTA5 63468,2600,2470,77,33,0,0,3,17,42.4,52137,1234,1366,1741,680,135,66,63468
ZCTA5 63469,854,828,12,0,0,0,0,14,48.3,49659,419,435,642,268,27,26,63469
ZCTA5 63471,805,805,0,0,0,0,0,0,35.2,111250,412,393,406,72,29,84,63471
ZCTA5 63472,459,457,2,0,0,0,0,0,47.8,-666666666,212,247,377,208,33,0,63472
ZCTA5 63473,318,310,0,0,8,0,0,0,31.8,76250,175,143,181,73,4,8,63473
ZCTA5 63474,465,465,0,0,0,0,0,0,38.1,57031,185,280,291,131,31,15,63474
ZCTA5 63501,20924,18563,1035,105,459,0,115,647,26.8,48157,9993,10931,10951,2781,841,1335,63501
ZCTA5 63530,1361,1282,2,0,48,0,0,29,36.2,65000,742,619,895,308,58,22,63530
ZCTA5 63531,309,260,0,0,2,0,0,47,39.4,68125,129,180,213,55,0,4,63531
ZCTA5 63532,1232,1213,6,1,0,0,3,9,50.3,54167,648,584,938,469,56,32,63532
ZCTA5 63533,902,899,0,0,0,0,0,3,38.8,64653,393,509,526,254,44,26,63533
ZCTA5 63534,763,752,3,0,4,0,0,4,55.5,45250,400,363,593,339,29,27,63534
ZCTA5 63535,13,13,0,0,0,0,0,0,-666666666.0,-666666666,13,0,13,13,0,0,63535
ZCTA5 63536,870,859,0,0,0,0,0,11,28.3,56389,391,479,465,214,68,11,63536
ZCTA5 63537,2256,2131,29,0,2,2,0,92,37.5,62426,1098,1158,1429,460,197,64,63537
ZCTA5 63538,184,174,6,0,0,0,0,4,61.5,49375,102,82,140,53,2,4,63538
ZCTA5 63539,244,244,0,0,0,0,0,0,39.3,-666666666,123,121,149,57,10,6,63539
ZCTA5 63540,267,267,0,0,0,0,0,0,32.4,56250,146,121,155,54,25,2,63540
ZCTA5 63541,458,407,0,0,0,0,3,48,46.7,58542,269,189,324,126,48,3,63541
ZCTA5 63543,235,231,0,4,0,0,0,0,24.6,48500,118,117,115,54,0,0,63543
ZCTA5 63544,1071,1016,5,11,7,0,0,32,55.0,42768,483,588,842,455,47,44,63544
ZCTA5 63545,914,830,0,0,0,0,24,60,48.5,38125,468,446,669,299,34,34,63545
ZCTA5 63546,1699,1620,4,18,0,0,6,51,42.3,67283,777,922,1150,311,166,57,63546
ZCTA5 63547,488,479,0,0,9,0,0,0,57.8,27415,273,215,397,192,13,17,63547
