Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 05091,3426,3352,24,0,2,0,0,48,56.2,97396,1744,1682,2676,432,258,583,05091
ZCTA5 05101,4095,3599,168,15,95,0,0,218,46.0,66219,1731,2364,2924,929,172,366,05101
ZCTA5 05141,121,121,0,0,0,0,0,0,73.2,-666666666,59,62,108,64,0,11,05141
ZCTA5 05142,746,727,0,0,0,0,14,5,41.1,73125,400,346,514,167,54,32,05142
ZCTA5 05143,4967,4791,66,0,0,0,8,102,48.1,70911,2474,2493,3648,1098,247,299,05143
ZCTA5 05146,652,617,0,0,11,0,0,24,55.8,83611,324,328,513,123,46,69,05146
ZCTA5 05148,1458,1366,12,11,4,0,5,60,51.8,78990,772,686,1190,313,57,163,05148
ZCTA5 05149,2241,2088,1,4,0,0,1,147,46.6,56607,1097,1144,1581,448,97,241,05149
ZCTA5 05150,424,424,0,0,0,0,0,0,63.5,63500,279,145,424,241,49,11,05150
ZCTA5 05151,1491,1270,12,0,0,0,0,209,50.6,83077,820,671,1021,311,132,153,05151
ZCTA5 05152,444,434,0,0,5,0,0,5,46.4,111591,197,247,387,77,8,46,05152
ZCTA5 05153,801,713,7,0,2,0,0,79,50.9,75500,407,394,595,174,24,91,05153
ZCTA5 05154,585,566,0,0,11,0,0,8,46.0,140833,324,261,420,46,35,178,05154
ZCTA5 05155,709,671,12,0,0,0,0,26,55.2,74306,362,347,620,300,24,9,05155
ZCTA5 05156,9307,8791,43,8,74,0,70,321,45.9,62828,4653,4654,7076,2368,738,437,05156
ZCTA5 05158,1148,1127,0,0,0,0,10,11,45.1,89063,645,503,809,161,124,91,05158
ZCTA5 05161,800,726,0,0,20,0,7,47,56.4,113375,462,338,606,49,29,103,05161
ZCTA5 05201,14901,13931,103,10,164,27,58,608,46.3,58257,7079,7822,10880,2862,870,1248,05201
ZCTA5 05250,3865,3366,175,0,51,0,81,192,46.6,79044,1837,2028,2904,645,218,435,05250
ZCTA5 05251,1330,1194,0,0,57,0,0,79,50.1,98750,695,635,978,113,23,220,05251
ZCTA5 05252,627,603,0,0,0,0,0,24,37.2,72885,293,334,353,100,29,26,05252
ZCTA5 05253,588,549,0,0,0,0,0,39,50.5,38333,281,307,514,130,30,76,05253
ZCTA5 05254,439,388,8,0,0,0,31,12,62.1,89018,225,214,336,37,69,85,05254
ZCTA5 05255,4100,3937,53,0,0,0,38,72,50.8,87091,1819,2281,2895,648,218,439,05255
ZCTA5 05257,3022,2731,11,17,70,0,48,145,37.3,89083,1522,1500,1862,446,124,427,05257
ZCTA5 05260,263,251,0,0,0,0,0,12,72.5,58640,101,162,215,68,10,25,05260
ZCTA5 05261,2354,2293,0,8,0,0,36,17,41.0,71711,1341,1013,1623,415,190,161,05261
ZCTA5 05262,1949,1921,0,0,0,0,0,28,49.6,101741,1018,931,1387,427,212,199,05262
ZCTA5 05301,16673,15421,89,0,324,0,28,811,46.8,52616,7816,8857,12550,2958,841,2187,05301
ZCTA5 05340,748,684,0,9,26,0,0,29,47.7,66691,461,287,538,95,42,76,05340
ZCTA5 05341,593,565,0,0,8,0,0,20,45.3,-666666666,254,339,410,147,19,24,05341
ZCTA5 05342,612,599,0,0,6,0,7,0,52.8,53646,360,252,453,193,13,54,05342
ZCTA5 05343,1056,1013,21,22,0,0,0,0,47.6,66932,547,509,779,305,72,74,05343
ZCTA5 05344,511,372,71,15,24,0,6,23,20.1,-666666666,343,168,41,4,0,13,05344
ZCTA5 05345,1757,1689,0,0,5,0,4,59,51.1,66875,848,909,1391,391,101,196,05345
ZCTA5 05346,5262,4708,118,34,40,0,10,352,46.5,76445,2679,2583,3733,739,312,675,05346
ZCTA5 05350,765,762,0,0,0,0,0,3,50.1,56250,364,401,549,202,35,21,05350
ZCTA5 05351,184,179,3,0,2,0,0,0,53.8,-666666666,90,94,151,8,0,19,05351
ZCTA5 05352,987,952,0,0,19,0,0,16,50.9,75833,513,474,693,210,82,57,05352
ZCTA5 05353,1434,1341,0,10,0,0,21,62,58.1,86250,806,628,1231,326,47,99,05353
ZCTA5 05354,2548,2372,10,0,13,0,18,135,40.7,77254,1375,1173,1853,724,102,54,05354
ZCTA5 05355,717,717,0,0,0,0,0,0,54.9,82778,378,339,553,161,58,62,05355
ZCTA5 05356,634,596,10,0,14,0,0,14,56.8,49622,340,294,538,94,47,123,05356
ZCTA5 05358,425,406,0,0,1,0,0,18,34.8,59044,278,147,258,56,11,38,05358
ZCTA5 05359,669,619,2,0,3,0,0,45,41.4,75357,345,324,484,102,16,49,05359
ZCTA5 05360,428,428,0,0,0,0,0,0,32.1,75000,234,194,325,161,41,24,05360
ZCTA5 05361,978,930,8,0,3,0,0,37,37.9,67153,404,574,654,185,35,50,05361
ZCTA5 05362,186,184,0,0,0,0,0,2,57.3,57875,98,88,169,7,4,25,05362
ZCTA5 05363,1919,1766,0,0,33,0,52,68,54.7,78529,987,932,1539,391,157,220,05363
ZCTA5 05401,32019,27772,1099,6,1126,0,160,1856,25.9,59052,15207,16812,16520,1902,892,2890,05401
ZCTA5 05403,20177,16577,360,56,1849,25,175,1135,38.7,90383,9743,10434,14237,1723,1150,2391,05403
ZCTA5 05404,8082,6562,395,0,917,14,24,170,32.3,69583,4585,3497,5466,700,501,775,05404
ZCTA5 05405,2575,2402,61,0,84,0,8,20,19.2,-666666666,899,1676,0,0,0,0,05405
ZCTA5 05408,10067,8847,496,17,174,0,78,455,46.0,90522,4763,5304,7861,1381,508,1307,05408
ZCTA5 05439,1340,1246,52,0,10,0,12,20,19.6,-666666666,625,715,0,0,0,0,05439
ZCTA5 05440,1857,1721,9,30,17,0,0,80,50.0,71116,930,927,1445,510,142,177,05440
ZCTA5 05441,611,544,0,0,0,0,46,21,50.4,78958,308,303,497,158,44,92,05441
ZCTA5 05442,402,384,0,0,0,0,5,13,44.1,85917,208,194,315,122,19,27,05442
ZCTA5 05443,6360,6166,66,11,3,0,6,108,47.3,85134,3038,3322,4861,1307,405,661,05443
ZCTA5 05444,1646,1536,0,12,9,0,29,60,41.6,83500,816,830,1217,278,172,100,05444
ZCTA5 05445,3910,3755,12,0,13,0,16,114,50.1,124611,1835,2075,2887,502,233,631,05445
ZCTA5 05446,16292,14461,394,7,399,0,154,877,38.9,90550,8756,7536,11530,2469,1018,1466,05446
ZCTA5 05447,106,95,0,0,0,0,0,11,27.4,46458,57,49,69,34,8,0,05447
ZCTA5 05448,845,784,0,0,15,0,0,46,45.2,69609,402,443,613,160,55,81,05448
ZCTA5 05450,5306,4946,21,11,28,0,16,284,41.4,68443,2658,2648,3638,1478,286,171,05450
ZCTA5 05452,22338,18932,646,10,1384,0,129,1237,42.2,97383,10735,11603,15832,2055,1434,2585,05452
ZCTA5 05454,5255,5013,0,6,83,0,0,153,39.0,103269,2725,2530,3609,912,276,625,05454
ZCTA5 05455,1312,1221,0,2,0,0,0,89,41.1,108068,717,595,885,312,83,91,05455
ZCTA5 05456,949,948,0,0,0,0,0,1,44.8,132250,548,401,759,181,19,99,05456
ZCTA5 05457,1622,1565,0,0,17,0,0,40,39.8,99063,899,723,1178,520,139,58,05457
ZCTA5 05458,2254,2123,28,0,0,0,40,63,42.6,94398,1141,1113,1667,420,113,185,05458
ZCTA5 05459,1835,1536,0,14,0,0,0,285,36.3,76364,1103,732,1278,369,82,47,05459
ZCTA5 05461,4866,4644,0,0,0,0,28,194,47.8,115808,2487,2379,3786,543,219,586,05461
ZCTA5 05462,1782,1609,17,0,56,0,24,76,47.8,89848,921,861,1397,263,103,185,05462
ZCTA5 05463,551,527,0,0,0,0,0,24,48.9,73750,279,272,409,180,27,54,05463
ZCTA5 05464,3014,2756,60,16,6,0,0,176,36.5,89392,1403,1611,1997,392,221,224,05464
ZCTA5 05465,5589,5198,17,7,62,0,31,274,45.3,111831,2661,2928,3938,423,358,622,05465
ZCTA5 05468,13254,12594,339,14,0,0,8,299,40.1,107744,6805,6449,9408,2484,1306,865,05468
ZCTA5 05471,693,685,0,2,2,0,0,4,43.9,40104,298,395,556,124,93,23,05471
ZCTA5 05472,1937,1874,0,0,44,0,0,19,49.1,99276,1024,913,1513,496,120,141,05472
ZCTA5 05473,1516,1422,0,0,1,0,0,93,46.1,89211,837,679,1084,222,60,162,05473
ZCTA5 05474,1157,986,1,98,8,0,12,52,59.6,80893,641,516,956,255,100,87,05474
ZCTA5 05476,3254,3039,3,6,5,0,41,160,38.6,60426,1685,1569,2130,867,250,63,05476
ZCTA5 05477,4389,4115,56,0,60,0,25,133,43.5,118185,2255,2134,3186,258,281,964,05477
ZCTA5 05478,16034,14810,47,224,44,0,128,781,40.5,67705,7744,8290,11343,3308,1244,674,05478
ZCTA5 05481,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05481
ZCTA5 05482,7800,7087,39,0,296,0,5,373,48.1,106863,3594,4206,6002,580,312,1340,05482
ZCTA5 05483,1746,1720,8,3,0,0,0,15,41.8,67052,973,773,1143,582,53,25,05483
ZCTA5 05485,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05485
ZCTA5 05486,1516,1403,42,0,0,0,0,71,51.0,130313,776,740,1131,248,81,224,05486
ZCTA5 05487,1736,1653,0,0,2,0,0,81,37.1,71359,957,779,1125,424,59,129,05487
ZCTA5 05488,7984,7394,34,36,123,16,10,371,43.4,70472,4014,3970,5771,2157,465,328,05488
ZCTA5 05489,3652,3521,31,0,8,0,0,92,39.8,87941,1897,1755,2525,683,281,391,05489
ZCTA5 05491,5880,5589,48,13,2,5,66,157,46.1,87216,2877,3003,4348,1165,469,449,05491
ZCTA5 05492,774,760,0,0,0,0,12,2,48.0,84375,419,355,604,163,54,50,05492
ZCTA5 05494,1614,1459,1,0,0,0,3,151,45.4,104313,855,759,1220,280,132,136,05494
ZCTA5 05495,10888,9738,254,26,102,26,43,699,43.7,99560,5478,5410,8127,1077,1202,1319,05495
ZCTA5 05602,12572,11597,90,8,205,0,72,600,45.7,78376,5713,6859,9529,1712,433,1855,05602
ZCTA5 05640,251,251,0,0,0,0,0,0,16.9,125149,105,146,121,18,4,67,05640
ZCTA5 05641,16860,15924,186,0,85,0,138,527,45.5,68592,8332,8528,12615,3943,1047,1188,05641
ZCTA5 05647,1214,1152,20,0,11,0,7,24,43.1,68832,668,546,793,139,102,103,05647
ZCTA5 05648,569,547,19,0,0,0,0,3,42.0,99250,306,263,411,58,4,95,05648
ZCTA5 05649,377,358,0,0,0,0,0,19,44.8,95313,206,171,306,132,40,3,05649
ZCTA5 05650,902,877,0,0,0,0,0,25,45.4,90139,420,482,656,155,40,71,05650
ZCTA5 05651,1546,1474,14,11,7,0,5,35,37.7,87417,725,821,995,209,134,140,05651
ZCTA5 05652,727,712,0,4,0,0,0,11,41.6,62167,347,380,526,178,31,21,05652
ZCTA5 05653,608,567,0,0,0,0,0,41,42.0,63333,317,291,449,160,11,37,05653
ZCTA5 05654,1229,1066,163,0,0,0,0,0,32.7,56289,645,584,926,329,90,13,05654
ZCTA5 05655,3022,2973,0,0,6,0,0,43,41.9,73333,1513,1509,2213,523,276,272,05655
ZCTA5 05656,3491,3238,69,19,17,0,11,137,30.0,59286,1686,1805,2061,501,225,117,05656
ZCTA5 05658,1521,1359,0,0,13,4,12,133,41.2,63859,805,716,1071,230,55,123,05658
ZCTA5 05660,1909,1837,0,1,12,0,1,58,49.5,94952,998,911,1462,277,53,277,05660
ZCTA5 05661,6081,5487,106,6,99,0,73,310,43.0,62799,3102,2979,4612,889,364,445,05661
ZCTA5 05663,6727,6238,31,0,80,0,10,368,34.9,80402,3596,3131,4144,1279,232,417,05663
ZCTA5 05664,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05664
ZCTA5 05666,36,36,0,0,0,0,0,0,75.1,41250,16,20,36,13,0,3,05666
ZCTA5 05667,2257,2162,15,0,42,0,0,38,45.2,55268,1177,1080,1625,403,161,229,05667
ZCTA5 05669,918,894,0,0,0,0,4,20,38.4,69844,515,403,619,208,31,84,05669
ZCTA5 05670,31,31,0,0,0,0,0,0,-666666666.0,-666666666,0,31,31,0,0,0,05670
ZCTA5 05672,5214,5023,1,33,0,0,86,71,49.8,83167,2600,2614,3945,173,246,842,05672
ZCTA5 05673,2284,2185,4,0,4,0,11,80,48.6,91014,1068,1216,1766,229,162,397,05673
ZCTA5 05674,1736,1675,0,0,3,0,2,56,52.2,82750,884,852,1463,221,54,188,05674
ZCTA5 05675,928,909,4,12,0,0,0,3,52.0,67143,429,499,769,331,85,68,05675
ZCTA5 05676,4776,4571,4,3,46,0,85,67,40.5,84641,2334,2442,3556,580,298,600,05676
ZCTA5 05677,2357,2315,0,0,0,0,0,42,46.8,131855,1323,1034,1740,265,117,213,05677
ZCTA5 05678,84,84,0,0,0,0,0,0,39.7,73977,24,60,49,11,13,0,05678
ZCTA5 05679,3072,3006,0,0,2,0,0,64,43.5,88450,1661,1411,2239,969,283,137,05679
ZCTA5 05680,2016,1925,76,0,0,0,0,15,40.1,67898,1127,889,1398,396,94,141,05680
ZCTA5 05681,150,146,0,0,0,0,0,4,58.5,80833,67,83,112,29,0,15,05681
ZCTA5 05682,1238,1194,12,0,0,0,0,32,44.6,74464,641,597,940,162,137,118,05682
ZCTA5 05701,20469,19473,116,3,273,0,12,592,49.6,56667,10599,9870,15998,4787,1365,1790,05701
ZCTA5 05730,412,412,0,0,0,0,0,0,63.7,86944,206,206,336,99,22,35,05730
ZCTA5 05731,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05731
ZCTA5 05732,1267,1224,0,0,0,0,0,43,49.5,43750,447,820,924,247,68,183,05732
ZCTA5 05733,6038,5656,41,16,79,0,14,232,49.3,67780,2961,3077,4531,1509,431,313,05733
ZCTA5 05734,1289,1206,0,0,1,0,0,82,49.1,72583,663,626,963,341,61,74,05734
ZCTA5 05735,3646,3413,52,0,5,0,44,132,35.4,49643,1881,1765,2282,672,218,176,05735
ZCTA5 05736,512,512,0,0,0,0,0,0,47.2,56250,227,285,384,153,5,33,05736
ZCTA5 05737,566,530,0,0,0,0,6,30,44.5,87039,282,284,407,109,53,60,05737
ZCTA5 05738,1331,1219,10,0,9,0,8,85,42.2,93214,678,653,921,287,79,147,05738
ZCTA5 05739,1299,1259,0,0,4,0,0,36,49.2,57750,671,628,962,348,98,76,05739
ZCTA5 05742,699,699,0,0,0,0,0,0,41.8,61833,320,379,545,98,27,30,05742
ZCTA5 05743,4129,3927,9,0,6,0,0,187,41.8,67083,2136,1993,2876,1032,293,133,05743
ZCTA5 05744,436,428,8,0,0,0,0,0,47.9,70815,211,225,325,103,0,6,05744
ZCTA5 05746,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05746
ZCTA5 05747,313,305,0,0,1,0,0,7,42.3,56250,168,145,250,67,24,14,05747
ZCTA5 05748,480,458,0,2,5,0,3,12,31.4,69623,300,180,285,104,4,15,05748
ZCTA5 05751,766,585,40,0,36,0,54,51,46.3,74000,371,395,589,110,60,44,05751
ZCTA5 05753,10927,9215,266,30,636,0,107,673,35.4,88041,5357,5570,6204,1087,331,963,05753
ZCTA5 05757,748,736,0,0,0,0,0,12,56.6,68889,337,411,589,176,40,91,05757
ZCTA5 05758,661,585,0,0,0,0,3,73,48.7,58884,317,344,484,93,68,49,05758
ZCTA5 05759,2038,1962,10,0,11,0,0,55,44.9,61360,965,1073,1501,631,112,92,05759
ZCTA5 05760,829,791,0,4,5,0,0,29,56.8,61103,421,408,682,279,79,45,05760
ZCTA5 05761,1056,900,9,53,9,0,8,77,50.3,66538,456,600,797,214,49,130,05761
ZCTA5 05762,436,409,5,0,4,0,18,0,51.8,64688,191,245,356,95,29,43,05762
ZCTA5 05763,3009,2777,6,0,4,0,4,218,50.7,63738,1510,1499,2307,823,171,262,05763
ZCTA5 05764,3079,2860,32,10,13,0,15,149,42.5,65234,1687,1392,2103,663,230,275,05764
ZCTA5 05765,1852,1793,0,0,0,0,8,51,43.7,65938,901,951,1270,440,125,77,05765
ZCTA5 05766,494,484,0,0,0,0,0,10,50.6,113889,235,259,377,122,7,49,05766
ZCTA5 05767,1301,1264,0,2,7,0,0,28,55.6,68134,621,680,1135,270,76,119,05767
ZCTA5 05768,41,41,0,0,0,0,0,0,70.1,38636,23,18,32,15,6,0,05768
ZCTA5 05769,1186,1119,0,8,10,0,0,49,51.1,90761,610,576,947,296,74,78,05769
ZCTA5 05770,1170,1124,0,7,5,0,17,17,52.0,85625,520,650,904,219,101,76,05770
ZCTA5 05772,760,706,0,2,21,0,3,28,47.8,67917,360,400,601,181,52,36,05772
ZCTA5 05773,2531,2401,34,0,39,0,7,50,35.8,76635,1196,1335,1698,383,353,245,05773
ZCTA5 05774,921,866,0,0,0,0,0,55,52.0,70658,496,425,749,179,86,26,05774
ZCTA5 05775,620,560,4,4,0,0,0,52,51.2,55000,330,290,443,163,31,44,05775
ZCTA5 05776,346,346,0,0,0,0,0,0,51.0,50603,176,170,254,127,25,14,05776
ZCTA5 05777,3372,3288,11,0,10,0,8,55,47.5,54470,1550,1822,2474,691,341,217,05777
ZCTA5 05778,1027,895,7,1,12,24,13,75,38.9,72917,533,494,735,283,77,73,05778
ZCTA5 05819,9383,8700,121,26,44,0,143,349,46.0,57747,4861,4522,6722,1916,595,737,05819
ZCTA5 05820,395,391,0,0,0,0,0,4,42.0,65000,218,177,272,112,7,24,05820
ZCTA5 05821,949,864,48,2,0,0,0,35,47.5,67386,411,538,691,161,89,93,05821
ZCTA5 05822,1924,1783,34,27,12,0,21,47,52.4,61111,975,949,1558,411,213,92,05822
ZCTA5 05824,1202,1105,0,36,12,0,2,47,49.0,57083,575,627,929,373,56,63,05824
ZCTA5 05825,49,49,0,0,0,0,0,0,26.9,-666666666,10,39,29,24,0,0,05825
ZCTA5 05826,770,753,6,0,0,0,2,9,43.9,60938,395,375,536,224,44,32,05826
ZCTA5 05827,546,483,5,3,21,0,0,34,41.8,85263,278,268,350,60,2,108,05827
ZCTA5 05828,2102,1992,0,9,24,0,0,77,51.8,67847,1014,1088,1639,395,70,167,05828
ZCTA5 05829,1683,1681,0,0,0,0,0,2,58.4,65417,713,970,1296,502,91,87,05829
ZCTA5 05830,1372,1348,0,0,0,0,0,24,51.2,64375,667,705,1007,320,79,113,05830
ZCTA5 05832,1157,1151,0,2,0,0,0,4,38.5,69615,586,571,756,272,37,87,05832
ZCTA5 05833,38,38,0,0,0,0,0,0,68.0,63542,21,17,33,20,0,0,05833
ZCTA5 05836,1371,1327,11,0,6,0,0,27,39.0,93818,661,710,953,366,46,136,05836
ZCTA5 05837,352,301,2,0,0,0,0,49,47.0,33611,204,148,253,109,6,12,05837
ZCTA5 05839,639,592,1,0,1,0,1,44,50.5,68295,345,294,489,158,41,30,05839
ZCTA5 05840,53,53,0,0,0,0,0,0,62.8,-666666666,29,24,46,34,0,1,05840
ZCTA5 05841,343,313,0,0,0,0,0,30,62.7,69375,176,167,320,60,20,72,05841
ZCTA5 05842,509,502,2,0,0,0,4,1,42.5,68438,252,257,364,96,25,22,05842
ZCTA5 05843,2414,2142,52,0,12,0,0,208,48.7,59286,1161,1253,1822,674,101,89,05843
ZCTA5 05845,1318,1270,0,0,9,0,9,30,45.3,75000,735,583,938,354,105,69,05845
ZCTA5 05846,1225,1199,0,0,2,0,0,24,54.2,44375,594,631,953,330,51,68,05846
ZCTA5 05847,1003,918,4,0,0,0,7,74,35.6,48438,540,463,672,212,63,12,05847
ZCTA5 05850,308,289,0,0,0,0,19,0,30.3,-666666666,191,117,182,30,0,32,05850
ZCTA5 05851,5933,5635,69,17,0,0,71,141,42.8,61935,3055,2878,4085,1243,262,188,05851
ZCTA5 05853,803,742,0,2,0,0,8,51,45.8,93125,427,376,608,164,51,49,05853
ZCTA5 05855,7638,7295,100,12,4,5,16,206,44.5,57332,3956,3682,5702,1795,592,419,05855
ZCTA5 05857,1490,1361,20,0,56,0,6,47,40.0,72865,723,767,1013,347,104,132,05857
ZCTA5 05858,290,275,0,0,0,0,0,15,40.6,46250,130,160,212,72,11,19,05858
ZCTA5 05859,2164,2055,15,16,5,0,0,73,43.2,74219,1111,1053,1544,537,150,79,05859
ZCTA5 05860,2848,2754,1,8,0,0,22,63,40.9,59851,1424,1424,1922,729,185,134,05860
ZCTA5 05862,349,309,4,0,0,0,0,36,57.0,75938,153,196,262,51,26,31,05862
ZCTA5 05866,780,709,0,0,26,0,0,45,45.0,75000,438,342,596,182,59,59,05866
ZCTA5 05867,598,588,0,10,0,0,0,0,42.8,52396,300,298,430,126,19,45,05867
ZCTA5 05868,72,72,0,0,0,0,0,0,61.3,132813,28,44,72,32,6,18,05868
ZCTA5 05871,1306,1278,2,0,0,0,8,18,47.9,62500,634,672,982,288,40,85,05871
ZCTA5 05872,893,876,0,3,0,0,0,14,46.5,45134,411,482,681,273,43,31,05872
ZCTA5 05873,672,654,16,0,0,0,0,2,50.0,84479,356,316,573,147,112,53,05873
ZCTA5 05874,656,576,0,14,56,0,0,10,44.1,86979,341,315,454,112,67,52,05874
ZCTA5 05875,440,359,2,0,0,0,0,79,50.3,61250,219,221,331,87,43,36,05875
ZCTA5 05901,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,05901
ZCTA5 05902,131,126,0,0,0,0,0,5,56.4,31250,64,67,99,37,5,0,05902
ZCTA5 05903,596,592,0,0,0,0,0,4,54.9,57125,256,340,471,195,59,5,05903
ZCTA5 05904,239,233,0,0,0,0,0,6,47.6,36806,140,99,179,73,0,23,05904
ZCTA5 05905,943,907,0,0,1,0,0,35,53.8,73654,519,424,720,212,83,82,05905
ZCTA5 05906,1328,1277,0,3,26,0,0,22,48.2,56875,703,625,989,400,85,41,05906
ZCTA5 05907,122,111,0,0,3,0,0,8,54.3,49643,68,54,101,27,8,6,05907
ZCTA5 06001,19119,14721,465,178,2777,0,249,729,45.9,145537,9211,9908,13730,1072,727,3072,06001
ZCTA5 06002,21460,7052,12092,0,853,0,285,1178,46.8,90061,9807,11653,16796,3691,1228,2309,06002
ZCTA5 06010,61077,43271,4655,128,2109,15,3798,7101,37.5,82159,30265,30812,42666,11280,4658,3721,06010
ZCTA5 06013,9557,8040,171,0,284,0,177,885,39.0,148696,4758,4799,6424,1180,682,1011,06013
ZCTA5 06016,6677,4588,783,0,597,0,315,394,41.1,109954,3068,3609,4858,958,266,857,06016
ZCTA5 06018,2678,2264,144,0,0,0,22,248,38.5,49794,1359,1319,1796,549,143,61,06018
ZCTA5 06019,9782,9032,166,15,43,0,245,281,47.0,109176,4878,4904,7098,931,663,1279,06019
ZCTA5 06020,38,38,0,0,0,0,0,0,-666666666.0,-666666666,19,19,38,0,0,0,06020
ZCTA5 06021,1594,1357,75,0,48,0,1,113,53.5,120625,802,792,1225,373,110,179,06021
ZCTA5 06022,76,76,0,0,0,0,0,0,40.5,-666666666,51,25,50,0,0,0,06022
ZCTA5 06023,1576,1381,0,0,162,0,1,32,50.0,91667,678,898,1179,257,116,223,06023
ZCTA5 06024,534,381,0,0,0,0,127,26,60.1,89271,240,294,452,101,42,35,06024
ZCTA5 06026,5154,4223,247,0,180,0,80,424,40.7,107215,2132,3022,3467,497,286,373,06026
ZCTA5 06027,1230,1139,3,0,0,0,21,67,55.0,107813,624,606,959,250,96,107,06027
ZCTA5 06029,16519,13797,738,12,881,0,530,561,40.1,124450,8449,8070,11566,2485,1161,2062,06029
ZCTA5 06031,1426,1343,0,0,28,0,0,55,51.9,97083,725,701,1086,229,58,192,06031
ZCTA5 06032,18540,13392,661,12,3211,0,538,726,44.3,116231,8896,9644,13746,1457,957,3074,06032
ZCTA5 06033,29251,23429,577,47,3090,77,641,1390,44.9,138838,14171,15080,21310,2846,1441,5026,06033
ZCTA5 06035,7810,7149,88,0,104,0,41,428,45.7,106341,4069,3741,5750,1233,482,971,06035
ZCTA5 06037,18573,16395,160,0,839,0,384,795,47.7,110546,9175,9398,13391,2778,1249,1965,06037
ZCTA5 06039,1878,1689,63,0,51,0,22,53,54.6,102798,866,1012,1440,202,101,293,06039
ZCTA5 06040,36847,20982,6941,68,2878,0,3453,2525,36.3,80426,17881,18966,25469,6857,2674,2984,06040
ZCTA5 06042,22663,13553,2832,67,3333,0,1603,1275,37.8,87808,11132,11531,17095,3421,1308,2927,06042
ZCTA5 06043,4851,4487,63,0,65,0,13,223,45.8,114948,2468,2383,3617,657,342,667,06043
ZCTA5 06051,31711,15985,4885,193,470,24,5572,4582,32.4,44017,14770,16941,19455,5882,1505,698,06051
ZCTA5 06052,8207,5241,1027,24,73,0,656,1186,39.0,72917,3893,4314,5743,1512,346,675,06052
ZCTA5 06053,34405,20026,3968,226,1438,0,4615,4132,33.2,59633,17366,17039,21125,5945,1919,1297,06053
ZCTA5 06057,6078,5744,0,0,127,0,67,140,48.2,106250,3182,2896,4392,959,223,697,06057
ZCTA5 06058,1975,1586,48,9,16,0,4,312,46.6,90000,949,1026,1521,255,233,261,06058
ZCTA5 06059,229,211,0,0,0,0,0,18,44.0,-666666666,137,92,117,18,5,20,06059
ZCTA5 06060,2331,2223,15,0,43,0,13,37,43.8,151004,1196,1135,1597,326,82,388,06060
ZCTA5 06061,602,602,0,0,0,0,0,0,32.9,71485,222,380,414,72,65,0,06061
ZCTA5 06062,17537,14492,322,38,742,54,923,966,42.6,78867,9042,8495,12897,3567,1282,1093,06062
ZCTA5 06063,3320,2922,2,0,19,0,0,377,45.5,124107,1734,1586,2463,432,220,394,06063
ZCTA5 06065,723,666,0,0,0,0,0,57,54.5,114564,329,394,522,169,40,24,06065
ZCTA5 06066,30289,23393,1854,191,1729,0,1093,2029,39.2,79875,14976,15313,22480,5334,2009,2469,06066
ZCTA5 06067,20705,14723,831,10,3520,26,313,1282,43.7,96773,10146,10559,15551,3455,1494,2426,06067
ZCTA5 06068,2074,1944,21,0,12,0,48,49,47.1,74722,837,1237,1400,279,59,347,06068
ZCTA5 06069,2534,2173,7,0,85,0,169,100,51.7,102297,1351,1183,2081,304,92,186,06069
ZCTA5 06070,15023,12517,670,6,549,11,560,710,45.4,144375,7039,7984,10572,1074,752,2244,06070
ZCTA5 06071,10495,9085,458,17,0,0,611,324,45.4,106600,5588,4907,7774,1957,829,940,06071
ZCTA5 06072,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,06072
ZCTA5 06073,5854,5030,32,0,392,0,181,219,44.6,185387,2846,3008,3861,459,221,1140,06073
ZCTA5 06074,26805,18174,1173,0,5096,0,462,1900,40.4,134080,13414,13391,18253,2796,1770,3838,06074
ZCTA5 06076,11949,11044,16,48,54,7,160,620,47.5,92083,5696,6253,8882,2902,750,515,06076
ZCTA5 06078,10633,9279,455,0,424,0,138,337,45.5,120208,5322,5311,7682,1234,618,1132,06078
ZCTA5 06079,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,06079
ZCTA5 06080,1332,315,662,0,0,0,343,12,39.4,-666666666,1332,0,1195,406,7,6,06080
ZCTA5 06081,1803,1564,0,16,134,0,16,73,37.9,83607,925,878,1332,302,236,148,06081
ZCTA5 06082,41346,31704,2622,47,1050,0,1684,4239,40.2,90741,21262,20084,30050,8161,3464,2546,06082
ZCTA5 06084,14640,12975,11,0,376,0,255,1023,41.5,133005,7279,7361,10138,1827,752,1842,06084
ZCTA5 06085,7537,5920,51,10,1074,0,129,353,41.3,127442,3733,3804,5164,831,305,1024,06085
ZCTA5 06088,4503,3684,91,21,392,0,35,280,51.8,78803,2325,2178,3810,1235,214,394,06088
